"year","gender","distance","stroke","rank","name","country","countrycode","time","timeBehind","genderDistance"
"2011","women","100","fly"," 2","Alicia COUTTS","Australia","AUS","56.94","0.07","women 100"
"2011","women","100","fly"," 3","Ying LU","China","CHN","57.06","0.19","women 100"
"2011","women","100","fly"," 4","Sarah SJÖSTRÖM","Sweden","SWE","57.38","0.51","women 100"
"2011","women","100","fly"," 5","Ellen GANDY","Great Britain","GBR","57.55","0.68","women 100"
"2011","women","100","fly"," 6","Zige LIU","China","CHN","57.57","0.70","women 100"
"2011","women","100","fly"," 7","Jessicah SCHIPPER","Australia","AUS","57.95","1.08","women 100"
"2011","women","100","fly"," 8","Jemma LOWE","Great Britain","GBR","57.96","1.09","women 100"
"2011","women","100","free"," 1","Jeanette OTTESEN","Denmark","DEN","53.45","0.00","women 100"
"2011","women","100","free"," 1","Aliaksandra HERASIMENIA","Belarus","BLR","53.45","0.00","women 100"
"2011","women","100","free"," 3","Ranomi KROMOWIDJOJO","Netherlands","NED","53.66","0.21","women 100"
"2011","women","100","free"," 4","Francesca HALSALL","Great Britain","GBR","53.72","0.27","women 100"
"2011","women","100","free"," 4","Femke HEEMSKERK","Netherlands","NED","53.72","0.27","women 100"
"2011","women","100","free"," 6","Alicia COUTTS","Australia","AUS","53.81","0.36","women 100"
"2011","women","100","free"," 7","Dana VOLLMER","United States","USA","54.19","0.74","women 100"
"2011","women","100","free"," 8","Natalie COUGHLIN","United States","USA","54.22","0.77","women 100"
"2013","men"," 50","back"," 1","Camille LACOURT","France","FRA","24.42","0.00","men 50"
"2013","men"," 50","back"," 2","Jeremy STRAVIUS","France","FRA","24.54","0.12","men 50"
"2013","men"," 50","back"," 2","Matt GREVERS","United States","USA","24.54","0.12","men 50"
"2013","men"," 50","back"," 4","Aschwin WILDEBOER FABER","Spain","ESP","24.58","0.16","men 50"
"2013","men"," 50","back"," 5","Xiaolei SUN","China","CHN","24.76","0.34","men 50"
"2013","men"," 50","back"," 6","Daniel ORZECHOWSKI","Brazil","BRA","24.87","0.45","men 50"
"2013","men"," 50","back"," 7","Guy Marcos BARNEA","Israel","ISR","25.14","0.72","men 50"
"2013","men"," 50","back"," 8","Jonatan Josef KOPELEV","Israel","ISR","25.19","0.77","men 50"
"2013","men"," 50","breast"," 1","Cameron VAN DER BURGH","South Africa","RSA","26.77","0.00","men 50"
"2013","men"," 50","breast"," 2","Christian SPRENGER","Australia","AUS","26.78","0.01","men 50"
"2013","men"," 50","breast"," 3","Giulio ZORZI","South Africa","RSA","27.04","0.27","men 50"
"2013","men"," 50","breast"," 4","Damir DUGONJIC","Slovenia","SLO","27.05","0.28","men 50"
"2013","men"," 50","breast"," 5","Joao GOMES JUNIOR","Brazil","BRA","27.20","0.43","men 50"
"2013","men"," 50","breast"," 6","Glenn SNYDERS","New Zealand","NZL","27.21","0.44","men 50"
"2013","men"," 50","breast"," 7","Johannes SKAGIUS","Sweden","SWE","27.48","0.71","men 50"
"2013","men"," 50","breast"," 8","Mattia PESCE","Italy","ITA","27.53","0.76","men 50"
"2013","men"," 50","fly"," 1","Cesar CIELO FILHO","Brazil","BRA","23.01","0.00","men 50"
"2013","men"," 50","fly"," 2","Eugene GODSOE","United States","USA","23.05","0.04","men 50"
"2013","men"," 50","fly"," 3","Frederick BOUSQUET","France","FRA","23.11","0.10","men 50"
